record_id,pmid,title,year,journal,query,extracted_brain_system,extracted_feature_type,extracted_phenotype,extracted_diagnostic_context,extracted_relationship,extracted_direction,extracted_mechanism,extracted_directness,evidence_strength,supporting_sentence,schema_valid,schema_issues,citation_valid,sentence_present,sentence_anchored,semantic_support_score,phenotype_correct,feature_type_correct,relationship_correct,direction_correct,overclaiming_flag,hallucination_flag,review_decision,review_notes,verifier_model,verifier_support_score,verifier_decision,verifier_phenotype_supported,verifier_feature_supported,verifier_relationship_supported,verifier_direction_supported,verifier_directness_supported,verifier_overclaiming,verifier_corrected_phenotype,verifier_corrected_feature_type,verifier_corrected_direction,verifier_rationale,verifier_error
39,41207270,Sex-specific alterations in brain network topology in methamphetamine use disorder: A graph theory-based fMRI study.,2025,Drug and alcohol dependence,Barratt Impulsiveness Scale resting-state fMRI,unknown,functional connectivity,impulsivity (general),methamphetamine use disorder,correlates_with,unclear,,indirect,0.7,"Furthermore, significant sex-related main effects were observed in widespread brain areas, involving key nodal metrics such as degree centrality, local efficiency, clustering coefficient, and nodal efficiency. Female patients with MUD demonstrated higher global network measures and showed more extensive nodal metric differences compared to males.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,yes,yes,no,no,no,impulsivity (general),functional connectivity,unclear,"The sentence partially supports the claim, but the direction and directness are unclear. The phenotype and feature are supported, but the relationship is not explicitly stated as 'correlates_with'.",
40,24223847,Reduced regional homogeneity in bilateral frontostriatal system relates to higher impulsivity behavior in codeine-containing cough syrups dependent individuals.,2013,PloS one,Barratt Impulsiveness Scale resting-state fMRI,unknown,BOLD variability,impulsivity (general),codeine-containing cough syrups dependence,correlates_with,higher,,direct,0.8,"There were negative correlations between mean ReHo in the bilateral medial OFC, left dorsal striatum and duration of CCS use, BIS.11 total scores, and the subscale of attentional impulsivity in CCS-dependent individuals.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),BOLD variability,higher,"The sentence clearly supports the extracted claim by mentioning a correlation between BOLD variability (ReHo) in specific brain regions and impulsivity behavior in CCS-dependent individuals. The direction of the correlation is also clearly stated as negative, which corresponds to the extracted direction of 'higher'.",
41,26908392,Association of ventral striatum monoamine oxidase-A binding and functional connectivity in antisocial personality disorder with high impulsivity: A positron emission tomography and functional magnetic resonance imaging study.,2016,European neuropsychopharmacology : the journal of the European College of Neuropsychopharmacology,Barratt Impulsiveness Scale resting-state fMRI,unknown,functional connectivity,impulsivity (general),antisocial personality disorder,correlates_with,lower,,direct,0.85,"Additionally, VSs-DMPFC FC was negatively correlated with NEO Personality Inventory-Revised impulsivity (r=-0.49, p=0.03), as was VSi-hippocampus FC with Barratt Impulsiveness Scale-11 motor impulsiveness (r=-0.50, p=0.03).",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,,,,"The sentence directly supports the association between impulsivity and functional connectivity in the brain, with a specific direction (lower) and a direct relationship.",
42,25008351,Altered intrinsic hippocmapus declarative memory network and its association with impulsivity in abstinent heroin dependent subjects.,2014,Behavioural brain research,Barratt Impulsiveness Scale resting-state fMRI,unknown,functional connectivity,impulsivity (general),abstinent heroin dependent subjects,correlates_with,higher,"enhanced coherence between hippocampus and non-declarative reward-guided learning memory system, and attenuated intrinsic functional link between hippocampus and top-down control system",direct,0.9,This alteration was furthered found to have behavioral significance over the behavioral index 'impulsivity' measured with Barratt Impulsiveness Scale (BIS).,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),behavioral index,higher,"The sentence clearly supports the phenotype, feature, relationship, and direction when stated. The phenotype is 'impulsivity' which is a behavioral index measured with Barratt Impulsiveness Scale (BIS). The feature is a behavioral index which is a type of functional connectivity. The relationship is 'correlates_with' which is supported by the sentence. The direction is 'higher' which is also supported by the sentence. The directness is 'direct' which is supported by the sentence as it names both phenotype and feature.",
43,25496980,Abnormal regional homogeneity in young adult suicide attempters with no diagnosable psychiatric disorder: a resting state functional magnetic imaging study.,2015,Psychiatry research,Barratt Impulsiveness Scale resting-state fMRI,unknown,BOLD variability,impulsivity (general),suicide attempters without a psychiatric diagnosis,correlates_with,higher,,direct,0.8,The SA group also had significantly higher total Barratt Impulsiveness Scale scores compared with the HC group.,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),Barratt Impulsiveness Scale scores,higher,The sentence directly supports the claim by stating a higher impulsivity score in the SA group compared to the HC group.,
44,41104323,Effect of Precision-based HD-tDCS Over Conventional HD-tDCS in Young-onset Mania: Protocol for an Active Comparison fMRI and TMS Study.,2026,Indian journal of psychological medicine,Barratt Impulsiveness Scale resting-state fMRI,unknown,unknown,impulsivity (general),young-onset mania,correlates_with,unclear,,indirect,0.5,"By correlating perturbation-induced changes in cortical inhibition paradigms and functional connectivity of cerebral circuits, we aim to introduce a more objective measure of therapeutic efficacy and response, as opposed to relying solely on subjective clinical scales.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,0,drop,no,no,no,no,no,no,,,,"The sentence does not mention impulsivity or any other phenotype, and does not support a relationship between any phenotype and a feature.",
45,35040662,Role of White Matter Microstructure in Impulsive Behavior.,2022,The Journal of neuropsychiatry and clinical neurosciences,Barratt Impulsiveness Scale fMRI,unknown,structural connectivity,nonplanning impulsivity,unknown,correlates_with,lower,,direct,0.85,"Whole-brain total average FA was inversely correlated with motor impulsiveness (r=-0.32, p=0.007) and positively correlated with nonplanning impulsiveness (r=0.29, p=0.02); these correlations were significant after correction for multiple comparisons.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,nonplanning impulsivity,structural connectivity,lower,"The sentence clearly supports the extracted claim, mentioning both nonplanning impulsivity and structural connectivity, and stating a direct correlation.",
46,37137256,Transdiagnostic brain correlates of self-reported trait impulsivity: A dimensional structure-symptom investigation.,2023,NeuroImage. Clinical,Barratt Impulsiveness Scale fMRI,unknown,structural connectivity,impulsivity (general),"healthy controls, opioid use disorder, cocaine use disorder, borderline personality disorder, schizophrenia",negatively correlated,lower,,direct,0.8,"Volume of the left opercular part of the inferior frontal gyrus (IFG) was negatively related to global impulsivity across the entire sample and specifically to motor impulsivity in the subsample of HCs, OUD and BPD patients.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),structural connectivity,lower,"The sentence clearly supports the extracted claim, mentioning a direct relationship between the volume of the left opercular part of the inferior frontal gyrus and impulsivity, both globally and specifically to motor impulsivity in a subsample of healthy controls and patients with opioid use disorder and borderline personality disorder.",
47,37004979,Chronic cannabis use alters dACC-striatal glutamatergic balance.,2023,"Pharmacology, biochemistry, and behavior",Barratt Impulsiveness Scale fMRI,unknown,unknown,impulsivity (general),chronic cannabis use disorder,correlates_with,unclear,,direct,0.8,"Self-reported BIS and its subscales were significantly altered among the users compared to the controls across the study timeline (total F(1,28) = 7.0, p = 0.013; non-planning F(1,28) = 16.1, p < 0.0005; motor F(1,28) = 5.9, p = 0.022; cognitive F(1,28) = 6.1, p = 0.019).",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),behavioral,increased,"The sentence directly supports the claim by stating that self-reported BIS and its subscales were significantly altered among the users compared to the controls, which implies a correlation between chronic cannabis use disorder and impulsivity. The direction of the correlation is implied to be increased, as the users showed significant alterations in the subscales, which are related to impulsivity. The directness of the claim is also supported, as the sentence names both the phenotype (impulsivity) and the feature (BIS subscales).",
48,37556131,Alcohol Cue Processing in Co-Occurring Bipolar Disorder and Alcohol Use Disorder.,2023,JAMA psychiatry,Barratt Impulsiveness Scale fMRI,unknown,unknown,impulsivity (general),"BD + AUD, AUD alone, BD alone, healthy controls",associated_with,higher,,direct,0.8,These hypoactivations were associated with increased impulsivity and obsessive-compulsive alcohol craving exclusively among individuals with BD + AUD.,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),alcohol craving,higher,"The sentence clearly supports the extracted claim, mentioning a direct association between hypoactivations and increased impulsivity and obsessive-compulsive alcohol craving in individuals with BD + AUD.",
49,34175744,Brain morphometry in adults with gambling disorder.,2021,Journal of psychiatric research,Barratt Impulsiveness Scale fMRI,unknown,unknown,impulsivity (general),Gambling Disorder,correlates_with,unclear,,indirect,,,no,evidence_strength not a number,yes,no,unclear,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,no,yes,no,no,unclear,impulsivity (general),brain morphometry,,"The sentence partially supports the claim, but the feature type is not specified. The relationship is supported, but the direction is unclear.",
50,40630648,Identifying a Biological Signature of Trauma-Related Neurodegeneration Following Repeated Traumatic Brain Injuries Compared with Healthy Controls.,2025,Neurotrauma reports,Barratt Impulsiveness Scale fMRI,unknown,unknown,impulsivity (general),unknown,correlates_with,unclear,,indirect,0.2,"Within the TBI group, amygdala normative percentile and/or amygdala asymmetry index were included in the final models for NSI, SWLS, PCL5, BIS, BPAQ, and ISI.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,yes,yes,no,no,no,impulsivity (general),behavioral,positive,"The sentence supports the phenotype (impulsivity) and relationship (correlates_with), but the direction is unclear. The feature type is behavioral, and the direction should be corrected to positive. The directness is indirect, and the brain system is not mentioned, so directness_supported is false.",
